,LGA_CODE_2021,G01_Total_Persons_Males,G01_Total_Persons_Females,G01_Total_Persons_Persons,G01_Age_groups_0_4_years_Males,G01_Age_groups_0_4_years_Females,G01_Age_groups_0_4_years_Persons,G01_Age_groups_5_14_years_Males,G01_Age_groups_5_14_years_Females,G01_Age_groups_5_14_years_Persons,G01_Age_groups_15_19_years_Males,G01_Age_groups_15_19_years_Females,G01_Age_groups_15_19_years_Persons,G01_Age_groups_20_24_years_Males,G01_Age_groups_20_24_years_Females,G01_Age_groups_20_24_years_Persons,G01_Age_groups_25_34_years_Males,G01_Age_groups_25_34_years_Females,G01_Age_groups_25_34_years_Persons,G01_Age_groups_35_44_years_Males,G01_Age_groups_35_44_years_Females,G01_Age_groups_35_44_years_Persons,G01_Age_groups_45_54_years_Males,G01_Age_groups_45_54_years_Females,G01_Age_groups_45_54_years_Persons,G01_Age_groups_55_64_years_Males,G01_Age_groups_55_64_years_Females,G01_Age_groups_55_64_years_Persons,G01_Age_groups_65_74_years_Males,G01_Age_groups_65_74_years_Females,G01_Age_groups_65_74_years_Persons,G01_Age_groups_75_84_years_Males,G01_Age_groups_75_84_years_Females,G01_Age_groups_75_84_years_Persons,G01_Age_groups_85_years_and_over_Males,G01_Age_groups_85_years_and_over_Females,G01_Age_groups_85_years_and_over_Persons,G01_Aboriginal_and_or_Torres_Strait_Islander_Persons_Total_Males,G01_Aboriginal_and_or_Torres_Strait_Islander_Persons_Total_Females,G01_Aboriginal_and_or_Torres_Strait_Islander_Persons_Total_Persons,G01_Birthplace_Australia_Males,G01_Birthplace_Australia_Females,G01_Birthplace_Australia_Persons,G01_Birthplace_Elsewhere_Males,G01_Birthplace_Elsewhere_Females,G01_Birthplace_Elsewhere_Persons,G01_Language_used_at_home_English_only_Males,G01_Language_used_at_home_English_only_Females,G01_Language_used_at_home_English_only_Persons,G01_Language_used_at_home_Other_Language_Males,G01_Language_used_at_home_Other_Language_Females,G01_Language_used_at_home_Other_Language_Persons,G01_Australian_citizen_Males,G01_Australian_citizen_Females,G01_Australian_citizen_Persons,G02_Median_age_of_persons,G02_Median_mortgage_repayment_monthly,G02_Median_total_personal_income_weekly,G02_Median_rent_weekly,G02_Median_total_family_income_weekly,G02_Average_number_of_Persons_per_bedroom,G02_Median_total_household_income_weekly,G02_Average_household_size,G06_PERSONS_Total_Married_in_a_registered_marriage,G06_PERSONS_Total_Married_in_a_de_facto_marriage,G06_PERSONS_Total_Not_married,G06_PERSONS_Total_Total,G09F_PERSONS_Afghanistan_Age_Total,G09F_PERSONS_Australia_Total,G09F_PERSONS_Bangladesh_Total,G09F_PERSONS_Bosnia_and_Herzegovina_Total,G09F_PERSONS_Brazil_Total,G09F_PERSONS_Cambodia_Total,G09F_PERSONS_Canada_Total,G09F_PERSONS_Chile_Total,G09F_PERSONS_China_excludes_SARs_and_Taiwan_Total,G09F_PERSONS_Croatia_Total,G09F_PERSONS_Egypt_Total,G09F_PERSONS_England_Total,G09F_PERSONS_Fiji_Total,G09F_PERSONS_France_Total,G09G_PERSONS_Germany_Total,G09G_PERSONS_Greece_Total,G09G_PERSONS_Hong_Kong_SAR_of_China_Total,G09G_PERSONS_India_Total,G09G_PERSONS_Indonesia_Total,G09G_PERSONS_Iran_Total,G09G_PERSONS_Iraq_Total,G09G_PERSONS_Ireland_Total,G09G_PERSONS_Italy_Total,G09G_PERSONS_Japan_Total,G09G_PERSONS_Korea_Republic_of_South_Total,G09G_PERSONS_Lebanon_Total,G09G_PERSONS_Malaysia_Total,G09G_PERSONS_Malta_Total,G09G_PERSONS_Mauritius_Total,G09G_PERSONS_Myanmar_Total,G09G_PERSONS_Nepal_Total,G09G_PERSONS_Netherlands_Total,G09G_PERSONS_New_Zealand_Total,G09G_PERSONS_North_Macedonia_Total,G09H_PERSONS_Pakistan_Total,G09H_PERSONS_Papua_New_Guinea_Total,G09H_PERSONS_Philippines_Total,G09H_PERSONS_Poland_Total,G09H_PERSONS_Samoa_Total,G09H_PERSONS_Scotland_Total,G09H_PERSONS_Singapore_Total,G09H_PERSONS_South_Africa_Total,G09H_PERSONS_Sri_Lanka_Total,G09H_PERSONS_Taiwan_Total,G09H_PERSONS_Thailand_Total,G09H_PERSONS_Turkey_Total,G09H_PERSONS_United_States_of_America_Total,G09H_PERSONS_Vietnam_Total,G09H_PERSONS_Wales_Total,G09H_PERSONS_Zimbabwe_Total,G09H_PERSONS_Born_elsewhere_Total,G09H_PERSONS_Country_of_birth_not_stated_Total,G14_Buddhism_Persons,G14_Christianity_Total_Persons,G14_Hinduism_Persons,G14_Islam_Persons,G14_Judaism_Persons,G14_Other_Religions_Total_Persons,G14_Secular_Beliefs_and_Other_Spiritual_Beliefs_and_No_Religious_Affiliation_Total_Persons,G14_Religious_affiliation_not_stated_Persons,G29_Couple_family_with_children_under_15_and_Total_Families,G29_Couple_family_with_no_children_under_15_and_Total_Families,G29_Couple_family_with_Total_Families,G56A_Agriculture_Forestry_and_Fishing_Total,G56A_Mining_Total,G56A_Manufacturing_Total,G56A_Electricity_Gas_Water_and_Waste_Services_Total,G56A_Construction_Total,G56A_Wholesale_Trade_Total,G56A_Retail_Trade_Total,G56A_Accommodation_and_Food_Services_Total,G56A_Transport_Postal_and_Warehousing_Total,G56A_Information_Media_and_Telecommunications_Total,G56A_Financial_and_Insurance_Services_Total,G56A_Rental_Hiring_and_Real_Estate_Services_Total,G56A_Professional_Scientific_and_Technical_Services_Total,G56A_Administrative_and_Support_Services_Total,G56A_Public_Administration_and_Safety_Total,G56A_Education_and_Training_Total,G56A_Health_Care_and_Social_Assistance_Total,G56A_Arts_and_Recreation_Services_Total,G56A_Other_Services_Total,G56A_Inadequately_described_Not_stated_Total
0,LGA10050,27087,29007,56093,1837,1732,3568,3576,3429,7003,1669,1681,3350,1695,1765,3463,3588,3726,7316,3327,3557,6881,3228,3484,6711,3255,3584,6839,2867,3176,6036,1545,1994,3539,504,881,1385,1004,1121,2126,22000,23845,45847,3429,3567,6990,23099,25032,48134,2379,2437,4817,23947,25917,49860,39,1473,779,270,1909,0.7,1430,2.3,17989,4979,17877,40854,3,45847,65,11,13,6,65,17,139,47,15,1085,50,21,256,49,30,1062,39,25,5,51,85,16,40,23,53,14,16,3,346,190,582,4,68,31,416,28,11,156,28,172,93,18,93,0,120,72,41,31,1186,3252,463,26928,1268,328,35,877,22224,3974,4088,1573,5658,366,51,2168,198,2698,564,2767,2008,1134,204,413,335,1113,781,1851,2656,4790,254,970,1015
1,LGA10180,14005,15115,29124,819,748,1571,1810,1857,3671,1072,1263,2335,1142,1184,2325,1820,1926,3750,1560,1621,3182,1510,1698,3208,1751,1822,3574,1392,1488,2885,861,1060,1918,265,451,713,1044,1162,2205,10590,11283,21868,2051,2279,4330,11198,11999,23203,1447,1548,2999,11480,12319,23798,37,1436,719,285,1844,0.7,1404,2.3,8736,2320,8644,19701,3,21868,101,0,23,0,68,15,149,10,3,560,25,30,88,13,23,279,27,44,577,27,18,37,22,7,45,3,3,14,262,52,283,0,35,31,165,10,8,91,13,109,93,35,33,12,153,79,24,37,600,2924,308,13555,435,370,23,769,10356,3305,1884,655,2544,1363,72,394,82,844,172,1126,916,282,119,205,119,648,384,709,2490,1909,134,411,381
2,LGA10250,22271,24019,46296,1144,1061,2205,2800,2537,5336,1272,1151,2423,978,902,1882,1991,2270,4262,2519,2727,5248,2773,3129,5901,3083,3422,6505,3194,3527,6722,1829,2140,3968,691,1145,1834,858,946,1804,18278,19424,37700,2699,3188,5890,20090,21460,41545,960,1235,2193,20215,21668,41882,48,1950,737,420,1848,0.8,1429,2.4,16262,4360,14455,35079,0,37700,10,0,94,10,148,40,52,11,12,1699,35,76,184,8,30,182,45,24,5,80,104,85,23,3,64,23,7,4,35,147,770,5,5,70,164,20,6,169,26,261,25,9,128,5,236,44,66,43,580,2706,491,22036,156,66,64,265,19871,3336,3097,1470,4563,838,113,854,150,2119,352,2187,1824,538,149,370,351,1207,689,1088,2210,3865,330,793,754
3,LGA10300,1116,1098,2208,58,77,135,167,134,302,64,59,117,63,38,102,128,141,274,106,104,212,136,148,289,172,162,333,149,136,289,50,63,117,20,31,47,63,74,141,873,841,1718,91,95,190,852,843,1695,113,94,205,894,874,1771,43,1083,734,200,1781,0.8,1370,2.5,694,175,538,1408,0,1718,0,0,0,0,0,6,6,0,0,17,18,0,0,0,0,12,3,0,0,0,16,0,0,0,36,0,0,0,3,4,7,0,0,0,11,0,0,0,0,0,0,5,8,0,0,11,0,0,13,308,33,1186,8,8,0,9,636,327,140,63,200,330,9,25,12,51,31,70,61,39,0,5,5,10,15,49,75,94,5,25,51
4,LGA10470,21857,21705,43567,1281,1201,2479,2920,2771,5692,1509,1387,2898,1516,1366,2880,2938,2749,5680,2634,2498,5124,2627,2755,5383,2620,2720,5338,2232,2266,4497,1213,1311,2528,372,680,1052,1650,1504,3153,18478,18426,36910,2189,2171,4359,18745,19432,38175,1154,1220,2371,19007,19716,38723,38,1733,796,320,2026,0.7,1585,2.5,13741,3915,13011,30670,20,36910,58,3,7,14,59,13,98,33,21,849,51,26,96,20,17,358,37,31,17,81,39,32,32,50,48,21,4,0,176,101,436,5,60,24,255,16,6,157,28,127,92,5,76,4,93,82,21,30,418,2297,294,24288,438,283,9,323,14270,3658,3157,1304,4459,698,366,1552,248,1844,330,1938,1408,729,246,314,220,759,567,1811,2307,3367,275,780,701
5,LGA10500,87327,87860,175184,5143,4847,9986,8458,8046,16501,4081,3689,7773,7181,6537,13717,18415,18122,36536,13509,13045,26551,10037,10586,20624,8551,8943,17495,6440,7049,13485,3961,4745,8707,1557,2247,3802,942,1012,1962,41486,40276,81762,41109,43176,84286,38115,35845,73964,43595,46560,90153,63644,64642,128286,35,2468,872,500,2243,1.0,1959,2.5,59436,15661,62478,137578,63,81762,2498,333,2411,144,229,838,11831,514,1565,3000,840,342,403,3927,1905,2910,4460,417,543,1747,1626,530,645,3364,1455,430,177,137,4683,151,2616,2915,460,97,3558,476,85,458,447,721,305,559,1607,822,535,1942,123,91,12330,9138,7766,83555,7664,15275,1273,766,46153,12729,13342,6605,19947,124,80,3502,522,7129,2376,7971,6026,6409,1727,5723,1703,8489,3424,4924,6303,10389,1323,2697,4289
6,LGA10550,17628,18307,35942,776,734,1507,2029,1892,3916,929,833,1760,672,612,1284,1479,1549,3033,1563,1777,3344,2067,2286,4348,2949,3383,6337,3170,3055,6219,1529,1574,3104,471,618,1089,688,696,1386,14270,14624,28894,2018,2353,4371,15883,16448,32334,520,680,1193,15898,16537,32427,52,1516,645,310,1501,0.8,1200,2.2,12696,3872,10282,26843,0,28894,10,0,10,3,79,21,44,19,12,1490,24,47,252,22,23,96,15,9,0,73,51,24,12,4,35,28,6,0,48,190,421,3,5,19,141,22,3,165,21,124,13,3,85,9,174,18,31,21,432,2678,345,15029,116,56,32,154,17065,3136,2156,933,3088,985,30,983,181,1532,308,1567,1481,449,93,185,150,695,518,864,1219,2391,212,548,578
7,LGA10600,6423,6827,13253,278,267,542,857,815,1672,358,347,708,211,191,400,509,529,1044,616,687,1300,799,969,1770,1044,1217,2263,1084,1025,2110,509,547,1054,155,240,395,272,292,562,5113,5412,10517,787,879,1665,5726,6043,11768,204,281,482,5736,6104,11835,50,1517,613,340,1479,0.8,1197,2.3,4240,1430,4062,9729,0,10517,0,0,7,0,33,5,7,3,0,618,9,27,98,3,10,10,10,0,0,20,12,10,3,0,17,3,0,0,8,65,181,0,0,19,38,10,0,65,12,62,3,5,13,4,73,0,24,6,182,1069,174,4706,31,15,34,108,6873,1310,816,350,1170,381,31,248,51,487,91,466,413,153,56,62,65,291,192,270,643,969,98,182,224
8,LGA10650,4261,4402,8665,189,191,378,467,494,958,234,213,444,144,144,286,359,371,732,364,427,793,488,485,968,605,674,1277,824,767,1595,437,463,899,161,179,334,131,130,263,3519,3599,7114,326,371,702,3722,3837,7560,123,135,261,3711,3828,7539,52,1207,618,210,1460,0.7,1128,2.2,3129,709,2288,6130,0,7114,0,0,0,0,10,5,11,0,11,182,3,0,34,0,0,34,3,0,8,8,15,0,0,0,12,0,0,0,9,46,79,0,0,0,46,0,0,36,0,19,16,0,8,0,7,5,6,3,76,850,22,4644,25,17,3,39,2961,948,510,212,725,594,10,298,43,265,101,282,276,194,6,32,26,101,79,131,268,443,28,124,143
9,LGA10750,197876,198905,396776,15368,14536,29907,30847,29368,60217,12642,11728,24375,13849,12575,26427,28760,30500,59261,33837,33552,67391,23905,23661,47563,18574,19299,37873,12744,14280,27022,5790,6641,12432,1559,2753,4304,5792,6017,11812,100782,99129,199909,86590,89523,176115,94962,93829,188793,90057,93533,183593,157532,158634,316164,34,2383,831,400,2251,0.9,2107,3.1,149309,19531,116853,285694,2818,199909,3196,531,225,193,288,654,6350,886,2037,4850,7576,169,829,677,1120,47090,1868,2142,2170,612,1224,190,2142,2038,1706,2029,650,966,3669,429,8423,226,6175,168,25292,870,2305,732,736,2149,6037,411,881,1494,922,1322,95,451,16110,20749,7591,184719,51801,31759,151,20241,72975,27538,41140,17436,58576,667,258,13070,1953,12635,6990,17453,8000,14215,3370,11114,2237,12925,5563,9993,12152,25813,1465,5174,9882
