LGA_CODE_2021,G01_Tot_P_M,G01_Tot_P_F,G01_Age_0_4_yr_M,G01_Age_0_4_yr_F,G01_Age_0_4_yr_P,G01_Age_5_14_yr_M,G01_Age_5_14_yr_F,G01_Age_5_14_yr_P,G01_Age_15_19_yr_M,G01_Age_15_19_yr_F,G01_Age_15_19_yr_P,G01_Age_20_24_yr_M,G01_Age_20_24_yr_F,G01_Age_20_24_yr_P,G01_Age_25_34_yr_M,G01_Age_25_34_yr_F,G01_Age_25_34_yr_P,G01_Age_35_44_yr_M,G01_Age_35_44_yr_F,G01_Age_35_44_yr_P,G01_Age_45_54_yr_M,G01_Age_45_54_yr_F,G01_Age_45_54_yr_P,G01_Age_55_64_yr_M,G01_Age_55_64_yr_F,G01_Age_55_64_yr_P,G01_Age_65_74_yr_M,G01_Age_65_74_yr_F,G01_Age_65_74_yr_P,G01_Age_75_84_yr_M,G01_Age_75_84_yr_F,G01_Age_75_84_yr_P,G01_Age_85ov_M,G01_Age_85ov_F,G01_Age_85ov_P,G01_Indigenous_P_Tot_M,G01_Indigenous_P_Tot_F,G06_P_Tot_Marrd_reg_marrge,G06_P_Tot_Married_de_facto,G06_P_Tot_Not_married,G29_CF_ChU15_a_Total_F,G29_CF_no_ChU15_a_Total_F
LGA10050,27087,29007,1837,1732,3568,3576,3429,7003,1669,1681,3350,1695,1765,3463,3588,3726,7316,3327,3557,6881,3228,3484,6711,3255,3584,6839,2867,3176,6036,1545,1994,3539,504,881,1385,1004,1121,17989,4979,17877,4088,1573
LGA10180,14005,15115,819,748,1571,1810,1857,3671,1072,1263,2335,1142,1184,2325,1820,1926,3750,1560,1621,3182,1510,1698,3208,1751,1822,3574,1392,1488,2885,861,1060,1918,265,451,713,1044,1162,8736,2320,8644,1884,655
LGA10250,22271,24019,1144,1061,2205,2800,2537,5336,1272,1151,2423,978,902,1882,1991,2270,4262,2519,2727,5248,2773,3129,5901,3083,3422,6505,3194,3527,6722,1829,2140,3968,691,1145,1834,858,946,16262,4360,14455,3097,1470
LGA10300,1116,1098,58,77,135,167,134,302,64,59,117,63,38,102,128,141,274,106,104,212,136,148,289,172,162,333,149,136,289,50,63,117,20,31,47,63,74,694,175,538,140,63
LGA10470,21857,21705,1281,1201,2479,2920,2771,5692,1509,1387,2898,1516,1366,2880,2938,2749,5680,2634,2498,5124,2627,2755,5383,2620,2720,5338,2232,2266,4497,1213,1311,2528,372,680,1052,1650,1504,13741,3915,13011,3157,1304
LGA10500,87327,87860,5143,4847,9986,8458,8046,16501,4081,3689,7773,7181,6537,13717,18415,18122,36536,13509,13045,26551,10037,10586,20624,8551,8943,17495,6440,7049,13485,3961,4745,8707,1557,2247,3802,942,1012,59436,15661,62478,13342,6605
LGA10550,17628,18307,776,734,1507,2029,1892,3916,929,833,1760,672,612,1284,1479,1549,3033,1563,1777,3344,2067,2286,4348,2949,3383,6337,3170,3055,6219,1529,1574,3104,471,618,1089,688,696,12696,3872,10282,2156,933
LGA10600,6423,6827,278,267,542,857,815,1672,358,347,708,211,191,400,509,529,1044,616,687,1300,799,969,1770,1044,1217,2263,1084,1025,2110,509,547,1054,155,240,395,272,292,4240,1430,4062,816,350
LGA10650,4261,4402,189,191,378,467,494,958,234,213,444,144,144,286,359,371,732,364,427,793,488,485,968,605,674,1277,824,767,1595,437,463,899,161,179,334,131,130,3129,709,2288,510,212
LGA10750,197876,198905,15368,14536,29907,30847,29368,60217,12642,11728,24375,13849,12575,26427,28760,30500,59261,33837,33552,67391,23905,23661,47563,18574,19299,37873,12744,14280,27022,5790,6641,12432,1559,2753,4304,5792,6017,149309,19531,116853,41140,17436
LGA10800,2790,2758,184,172,349,374,363,737,138,152,291,128,123,251,299,278,582,296,331,627,319,324,642,433,357,791,348,332,681,200,213,411,72,115,176,192,175,1952,430,1447,409,140
LGA10850,3721,3778,241,208,448,535,534,1073,247,218,462,161,156,314,371,418,794,363,415,777,486,519,1009,558,557,1106,467,412,877,242,240,477,69,94,165,226,209,2635,676,2002,585,252
LGA10900,37865,40258,1978,1905,3889,4979,4765,9744,2472,2194,4665,1834,1584,3421,3492,3629,7126,4582,5006,9583,5261,5695,10957,5232,5971,11205,5014,5497,10517,2362,2897,5258,657,1108,1763,1011,1091,29464,7299,23494,6070,3110
LGA10950,1240,1225,78,81,156,157,159,317,87,65,147,83,59,140,149,175,320,116,105,224,165,176,336,172,148,321,120,103,225,94,109,208,31,39,71,205,232,762,272,696,190,82
LGA11150,1164,1178,93,82,178,169,168,342,65,62,134,64,70,134,137,179,311,130,138,273,152,144,303,164,152,315,112,101,211,52,53,106,14,22,34,345,365,564,240,627,177,43
LGA11200,676,679,48,43,88,98,83,186,45,36,80,39,41,76,89,121,205,64,65,127,71,96,169,112,94,209,74,62,132,26,26,51,8,14,17,340,362,203,162,469,63,16
LGA11250,8565,9020,486,483,972,1008,1019,2030,519,452,971,475,424,896,1050,1128,2182,921,962,1883,1015,993,2010,1244,1320,2570,1101,1112,2214,542,735,1272,205,388,590,858,891,4800,1720,6151,940,475
LGA11300,19657,20556,766,763,1532,1583,1682,3271,861,970,1829,2613,2383,5006,4507,4297,8805,2530,2477,5002,2087,2416,4503,1987,2121,4109,1407,1618,3028,853,1107,1960,461,718,1177,76,86,13105,2709,16774,2476,1645
LGA11350,17313,18800,877,857,1733,2052,2029,4079,862,840,1695,648,832,1483,2240,2629,4871,2432,2719,5150,2403,2796,5197,2472,2726,5197,2318,2171,4488,802,833,1634,212,370,584,343,343,9013,4485,12183,2340,924
LGA11400,6851,6915,380,375,751,1054,993,2043,450,426,876,335,289,628,528,610,1139,747,796,1539,899,938,1832,974,1011,1987,882,795,1677,480,485,960,132,204,331,350,336,5377,1005,3331,1096,499
LGA11450,58587,60735,5771,5417,11190,9659,9246,18901,3800,3698,7498,3453,3536,6987,9159,10296,19454,9298,9542,18834,7123,7153,14279,4889,5433,10328,3412,3786,7203,1596,1833,3432,428,793,1220,1888,1984,45827,9230,29839,13691,4698
LGA11500,86646,89874,6665,6442,13106,13159,12597,25759,5604,5321,10930,5802,5479,11285,12016,13589,25608,13154,13440,26597,10029,10257,20283,9347,10151,19501,7037,7775,14817,3143,3545,6689,679,1271,1953,3421,3784,61573,10850,55713,15871,7389
LGA11520,42959,46218,2573,2280,4851,4659,4594,9248,2047,2062,4102,2817,2576,5395,7218,7668,14886,6727,6944,13677,5473,6261,11738,4746,5512,10252,3718,4353,8074,2149,2594,4743,836,1380,2219,262,239,34751,7652,27993,7432,3513
LGA11570,186002,184997,12742,11922,24664,25225,23590,48817,11822,10838,22662,13137,11986,25124,28274,27169,55449,25639,25432,51070,22304,23366,45671,20744,21181,41923,14420,15337,29760,8259,9249,17504,3441,4933,8374,1333,1473,130333,14896,128362,30317,17141
LGA11600,1527,1343,99,107,210,178,180,354,71,66,141,81,74,160,271,200,472,170,170,337,207,164,371,211,178,390,151,100,251,63,58,126,22,37,56,124,125,805,306,717,215,66
LGA11650,167980,178618,10001,9413,19421,22187,20739,42931,10523,9754,20276,9383,9107,18486,18615,19505,38119,19909,21445,41358,21395,22793,44183,21289,23597,44882,18898,21797,40693,11851,13850,25702,3929,6619,10545,8392,8655,118204,30852,112632,25338,12566
LGA11700,876,846,48,39,88,109,106,212,51,52,107,52,51,106,95,127,217,82,104,182,108,116,225,126,117,240,135,87,222,56,45,105,10,13,22,295,331,316,174,573,66,23
LGA11720,32030,31603,2202,2077,4283,4384,4163,8551,1924,1812,3736,1962,1888,3846,4595,4508,9106,4033,3858,7898,3932,3817,7749,3782,3858,7635,3301,3279,6577,1494,1593,3083,416,749,1167,3395,3086,19313,6435,19413,4665,2063
LGA11730,27064,27059,1282,1285,2578,3184,2895,6082,1468,1264,2731,1246,1129,2369,2638,2571,5203,2707,2693,5404,3154,3368,6516,4146,4252,8407,4231,4123,8356,2314,2406,4719,687,1070,1757,2299,2095,17957,4998,16356,3051,1477
LGA11750,2062,1993,145,131,279,270,284,552,122,105,231,114,111,228,293,292,592,241,271,508,238,208,444,298,253,552,216,176,390,94,113,211,26,45,75,269,310,1044,413,1053,282,94
LGA11800,38010,40746,2038,2021,4060,5029,4877,9907,2267,2240,4505,1841,1760,3601,4267,4520,8788,4404,4865,9273,4687,5136,9821,4999,5581,10579,4923,5252,10183,2640,3089,5726,919,1402,2320,2196,2363,26301,7151,24632,5368,2330
LGA12000,2166,2227,132,111,240,304,314,624,151,139,293,87,96,179,205,238,439,223,222,438,251,279,533,289,315,599,304,261,565,164,171,335,59,75,135,98,145,1641,338,1184,313,136
LGA12150,1865,1861,176,131,309,275,225,503,114,98,207,78,104,184,199,267,460,202,198,395,210,222,435,252,258,511,213,189,404,121,117,240,29,55,85,634,637,909,325,1136,199,83
