LGA_CODE_2021,Gender,Gender Value,Age - Male,Age - Male Value,Age - Female,Age - Female Value,Age - Person,Age - Person Value,Indigenous Gender,Indigenous Gender Value,Relationship Type,Relationship Type Value,Couple Family Kids Y N,Couple Family Kids Y N Value
LGA10050,Female,29007.0,,,,,,,,,,,,
LGA10180,Female,15115.0,,,,,,,,,,,,
LGA10250,Female,24019.0,,,,,,,,,,,,
LGA10300,Female,1098.0,,,,,,,,,,,,
LGA10470,Female,21705.0,,,,,,,,,,,,
LGA10500,Female,87860.0,,,,,,,,,,,,
LGA10550,Female,18307.0,,,,,,,,,,,,
LGA10600,Female,6827.0,,,,,,,,,,,,
LGA10650,Female,4402.0,,,,,,,,,,,,
LGA10750,Female,198905.0,,,,,,,,,,,,
LGA10800,Female,2758.0,,,,,,,,,,,,
LGA10850,Female,3778.0,,,,,,,,,,,,
LGA10900,Female,40258.0,,,,,,,,,,,,
LGA10950,Female,1225.0,,,,,,,,,,,,
LGA11150,Female,1178.0,,,,,,,,,,,,
LGA11200,Female,679.0,,,,,,,,,,,,
LGA11250,Female,9020.0,,,,,,,,,,,,
LGA11300,Female,20556.0,,,,,,,,,,,,
LGA11350,Female,18800.0,,,,,,,,,,,,
LGA11400,Female,6915.0,,,,,,,,,,,,
LGA11450,Female,60735.0,,,,,,,,,,,,
LGA11500,Female,89874.0,,,,,,,,,,,,
LGA11520,Female,46218.0,,,,,,,,,,,,
LGA11570,Female,184997.0,,,,,,,,,,,,
LGA11600,Female,1343.0,,,,,,,,,,,,
LGA11650,Female,178618.0,,,,,,,,,,,,
LGA11700,Female,846.0,,,,,,,,,,,,
LGA11720,Female,31603.0,,,,,,,,,,,,
LGA11730,Female,27059.0,,,,,,,,,,,,
LGA11750,Female,1993.0,,,,,,,,,,,,
LGA11800,Female,40746.0,,,,,,,,,,,,
LGA12000,Female,2227.0,,,,,,,,,,,,
LGA12150,Female,1861.0,,,,,,,,,,,,
LGA12160,Female,5732.0,,,,,,,,,,,,
LGA12350,Female,6409.0,,,,,,,,,,,,
LGA12380,Female,113938.0,,,,,,,,,,,,
LGA12390,Female,27784.0,,,,,,,,,,,,
LGA12700,Female,4781.0,,,,,,,,,,,,
LGA12730,Female,4286.0,,,,,,,,,,,,
LGA12750,Female,20696.0,,,,,,,,,,,,
LGA12850,Female,105605.0,,,,,,,,,,,,
LGA12870,Female,6471.0,,,,,,,,,,,,
LGA12900,Female,4716.0,,,,,,,,,,,,
LGA12930,Female,77250.0,,,,,,,,,,,,
LGA12950,Female,2174.0,,,,,,,,,,,,
LGA13010,Female,4518.0,,,,,,,,,,,,
LGA13310,Female,15909.0,,,,,,,,,,,,
LGA13340,Female,5492.0,,,,,,,,,,,,
LGA13450,Female,13494.0,,,,,,,,,,,,
LGA13550,Female,6495.0,,,,,,,,,,,,
LGA13660,Female,2465.0,,,,,,,,,,,,
LGA13800,Female,33755.0,,,,,,,,,,,,
LGA13850,Female,1436.0,,,,,,,,,,,,
LGA13910,Female,9787.0,,,,,,,,,,,,
LGA14000,Female,77455.0,,,,,,,,,,,,
LGA14100,Female,6962.0,,,,,,,,,,,,
LGA14170,Female,93648.0,,,,,,,,,,,,
LGA14220,Female,9072.0,,,,,,,,,,,,
LGA14300,Female,2756.0,,,,,,,,,,,,
LGA14350,Female,15262.0,,,,,,,,,,,,
LGA14400,Female,11851.0,,,,,,,,,,,,
LGA14500,Female,64222.0,,,,,,,,,,,,
LGA14550,Female,4708.0,,,,,,,,,,,,
LGA14600,Female,3048.0,,,,,,,,,,,,
LGA14650,Female,109529.0,,,,,,,,,,,,
LGA14700,Female,20130.0,,,,,,,,,,,,
